Description,Category
UPI-ZOMATO,Luxury/Discretionary
UPI-SWIGGY,Luxury/Discretionary
UBER TRIP,Luxury/Discretionary
OLA CAB,Luxury/Discretionary
AMAZON shopping,Luxury/Discretionary
FLIPKART purchase,Luxury/Discretionary
Myntra order,Luxury/Discretionary
NYKAA beauty,Luxury/Discretionary
TANISHQ gold,Luxury/Discretionary
DMART shopping,Luxury/Discretionary
BOOKMYSHOW movie,Luxury/Discretionary
NETFLIX subscription,Travel
AMAZON prime,Travel
SONY LIV,Travel
DISNEY+ HOTSTAR,Travel
SPOTIFY subscription,Travel
GAANA music,Travel
PHONEPE recharge,Luxury/Discretionary
PAYTM recharge,Luxury/Discretionary
GOOGLE PLAY,Travel
APPLE store,Luxury/Discretionary
STARBUCKS,Travel
CAFE COFFEE DAY,Luxury/Discretionary
DOMINOS pizza,Luxury/Discretionary
PIZZA HUT,Luxury/Discretionary
KFC meal,Luxury/Discretionary
MCDONALDS,Luxury/Discretionary
DUNZO delivery,Luxury/Discretionary
GROFFERS grocery,Luxury/Discretionary
BIGBASKET,Luxury/Discretionary
SWIGGY GENIE,Luxury/Discretionary
HOTEL booking,Luxury/Discretionary
OYO room,Luxury/Discretionary
AIRBNB,Luxury/Discretionary
MAKEMYTRIP,Luxury/Discretionary
GOIBIBO,Luxury/Discretionary
CLEARTRIP,Luxury/Discretionary
IXIGO,Luxury/Discretionary
GO AIR,Travel
INDIGO flight,Travel
AIR INDIA,Travel
SPICEJET,Travel
EMIRATES,Travel
QATAR AIRWAYS,Travel
MMT FLIGHT,Travel
YATRA flight,Travel
BIKE WALE,Luxury/Discretionary
CAR WALE,Luxury/Discretionary
SPOTERN,Luxury/Discretionary
CARATLANE,Luxury/Discretionary
PC JEWELLER,Luxury/Discretionary
KALYAN JEWELLERS,Luxury/Discretionary
MALABAR GOLD,Luxury/Discretionary
JOYALUKKAS,Luxury/Discretionary
TITAN JEWELLERY,Luxury/Discretionary
GUCCI,Luxury/Discretionary
LOUIS VUITTON,Luxury/Discretionary
PRADA,Luxury/Discretionary
ZARA,Luxury/Discretionary
H&M,Luxury/Discretionary
MAX FASHION,Luxury/Discretionary
Lifestyle shopping,Luxury/Discretionary
SHOPPING STOP,Luxury/Discretionary
CENTRAL mall,Luxury/Discretionary
INORBIT mall,Luxury/Discretionary
PHOENIX mall,Luxury/Discretionary
ELECTRICITY bill,Mandatory/Utilities
WATER bill,Mandatory/Utilities
GAS cylinder,Mandatory/Utilities
TATA POWER,Mandatory/Utilities
ADANI GAS,Mandatory/Utilities
BSES electricity,Mandatory/Utilities
MSEB electricity,Mandatory/Utilities
KSEB electricity,Mandatory/Utilities
GESCOM electricity,Mandatory/Utilities
APSPDCL electricity,Mandatory/Utilities
TNEB electricity,Mandatory/Utilities
Broadband bill,Mandatory/Utilities
ACT broadband,Mandatory/Utilities
AIRTEL broadband,Mandatory/Utilities
JIO FIBER,Mandatory/Utilities
 Hathway broadband,Mandatory/Utilities
ACT fibernet,Mandatory/Utilities
BSNL broadband,Mandatory/Utilities
Mobile recharge,Mandatory/Utilities
Airtel recharge,Mandatory/Utilities
JIO recharge,Mandatory/Utilities
VI recharge,Mandatory/Utilities
BSNL recharge,Mandatory/Utilities
Rent payment,Mandatory/Utilities
RENT credited,Mandatory/Utilities
EMI payment,Mandatory/Utilities
HOME loan EMI,Mandatory/Utilities
CAR loan EMI,Mandatory/Utilities
PERSONAL loan EMI,Mandatory/Utilities
EDUCATION loan EMI,Mandatory/Utilities
Car rent,Mandatory/Utilities
Home rent,Mandatory/Utilities
Office rent,Mandatory/Utilities
Society maintenance,Mandatory/Utilities
Apartment association,Mandatory/Utilities
ICICI rent,Mandatory/Utilities
SBI rent,Mandatory/Utilities
School fees,Mandatory/Utilities
College fees,Mandatory/Utilities
University fees,Mandatory/Utilities
Coaching fees,Mandatory/Utilities
Tuition fees,Mandatory/Utilities
Hospital bill,Mandatory/Utilities
Medical bill,Mandatory/Utilities
PHARMACY purchase,Mandatory/Utilities
MEDPLUS pharmacy,Mandatory/Utilities
APOLLO pharmacy,Mandatory/Utilities
FORTIS hospital,Mandatory/Utilities
APOLLO hospital,Mandatory/Utilities
HEALTHINSURANCE,Mandatory/Utilities
LIC premium,Mandatory/Utilities
TERM insurance,Mandatory/Utilities
CAR insurance,Mandatory/Utilities
BIKE insurance,Mandatory/Utilities
HEALTH insurance,Mandatory/Utilities
GROCERY store,Non-Mandatory
VEGETABLE market,Non-Mandatory
FRUIT market,Non-Mandatory
MILK dairy,Non-Mandatory
DAILY milk,Non-Mandatory
AMUL milk,Non-Mandatory
Mother Dairy,Non-Mandatory
FOODGRAIN shop,Non-Mandatory
RICE shop,Non-Mandatory
FLOUR mill,Non-Mandatory
PAN SHOP,Non-Mandatory
TOBACCO shop,Non-Mandatory
PAAN STORE,Non-Mandatory
SUPERMART,Non-Mandatory
MORE supermarket,Non-Mandatory
RELIANCE fresh,Non-Mandatory
KIRANA store,Non-Mandatory
NEIGHBOURHOOD store,Non-Mandatory
CHEMIST shop,Non-Mandatory
Medical store,Non-Mandatory
Haircut salon,Non-Mandatory
BARBER shop,Non-Mandatory
BEAUTY parlour,Non-Mandatory
SALON service,Non-Mandatory
SPA treatment,Non-Mandatory
GYM membership,Non-Mandatory
FITNESS club,Non-Mandatory
HEALTH club,Non-Mandatory
Yoga class,Non-Mandatory
Petrol pump,Non-Mandatory
HP PETROL,Non-Mandatory
BP PETROL,Non-Mandatory
IOC PETROL,Non-MMandatory
BPCL petrol,Non-Mandatory
HPCL petrol,Non-Mandatory
SHELL petrol,Non-Mandatory
 fuel station,Non-Mandatory
BUS ticket,Non-Mandatory
AUTO rickshaw,Non-Mandatory
Metro card,Non-Mandatory
Metro recharge,Non-Mandatory
Train ticket,Non-Mandatory
IRCTC booking,Non-Mandatory
RAILWAY ticket,Non-Mandatory
SBI ATM withdrawal,Non-Mandatory
HDFC ATM withdrawal,Non-Mandatory
ICICI ATM withdrawal,Non-Mandatory
AXIS ATM withdrawal,Non-Mandatory
ATM cash withdrawal,Non-Mandatory
